episode_id,days_of_week
447f82af6a1f8a2fd49140e3,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
4e333cc894d4b02bcdc93744,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
d4d6c6296ff621971e0d15db,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
0506af1b5f07ee4b28faff63,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
9a8a5eaa00cad7ed7bb57958,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
53a4e24af99d6536bc4c0cf3,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
d93d3440d7464c73203d9199,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
63d4574bdefe290fe3ff3793,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
e1d3bb901a6d7260caece331,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
387263b5916defa31529ee68,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
dc1d29b8b45054b7c78f3c2a,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
6ad910888121ed3024efe74a,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
70b38b3a2d2dcf7c627a11d0,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
7a9f8e29aacac67f788c05d0,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
4e023b5fe06b70ec437da72a,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
c180bbb4559a4323d298f805,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
cf2b613fc2950c74951fc5d0,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
0bc207925053b75ffbfe4ae1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
ef62c5fb66e8adfe0aab3946,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
e07fa83b097f1f8b4dda159c,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
a2814ff1bc56097760ff6249,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
200dbd15e4fd0603e6f4c4ee,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
b6bd93df56181f66f83293c3,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
4fc3ea206a959beb5d8fac9b,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
b2cf9ca8eb8086257e1a7777,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
d3190302e2f22d2092209c8e,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
8137935d77398e4d93e5ecc2,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
b6e4124c76abb9677ed5180a,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
806d4ccc496ab12962749876,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
0ce2a75135edda8528122c64,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
5f452e7867345b730539da7e,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
e83bad98509a943ab2878845,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
395df3c08bcbed02af9add08,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
9a0849992cd9d73e66fc07ab,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
29a121966dce3f94a6a83745,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
c72bba25089b4add0ae62e47,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
eade8d8be0b1b025336f3196,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
7bd221cd4a6224310471e656,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
