channel_url,title,author,subscribed_count,played_count,description,episode_count
https://castbox.fm/channel/The-Joe-Rogan-Experience-id1608,The Joe Rogan Experience,Joe Rogan,3546317.0,172761751.0,The official podcast of comedian Joe Rogan.,2440.0
https://castbox.fm/channel/TED-Talks-Daily-(SD-video)-id532854,TED Talks Daily,TED,2792339.0,101315835.0,"Want TED Talks on the go? Everyday, this feed brings you our latest talks in audio format. Hear thought-provoking ideas on every subject imaginable – from Artificial Intelligence to Zoology, and everything in between – given by the world's leading thinkers and doers. This collection of talks, given at TED and TEDx conferences around the globe, is also available in video format. Hosted on Acast. See acast.com/privacy for more information.",2411.0
https://castbox.fm/channel/Stuff-You-Should-Know-id4832025,Stuff You Should Know,iHeartPodcasts,2269909.0,77103154.0,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.",2493.0
https://castbox.fm/channel/The-Daily-id6314682,The Daily,The New York Times,1728870.0,103997884.0,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro and Sabrina Tavernise. Twenty minutes a day, five days a week, ready by 6 a.m. Unlock full access to New York Times podcasts and explore everything from politics to pop culture. Subscribe today at nytimes.com/podcasts or on Apple Podcasts and Spotify.  Listen to this podcast in New York Times Audio, our new iOS app for news subscribers. Download now at nytimes.com/audioapp",2095.0
https://castbox.fm/channel/Serial-id6313951,Serial,Serial Productions & The New York Times,1559639.0,12271931.0,"Our newest podcast, “The Good Whale,” is out now. Search for it wherever you get your podcasts, or follow it here: https://lnk.to/good-whaleSerial Productions makes narrative podcasts that have transformed the medium. Sign up for our newsletter at nytimes.com/serialnewsletter to find out about new shows, get behind the scenes stories, and see photos and videos you can’t see on a podcast. To get full access to Serial Productions shows, and to other New York Times podcasts on Apple Podcasts and Spotify, subscribe at nytimes.com/podcasts. Have a story pitch, a tip, or feedback on our shows? Email us at serialshows@nytimes.com""Serial"" began in 2014 as a spinoff of the public radio show ""This American Life."" In 2017, we formed Serial Productions when we launched the podcast “S-Town.” Since then, Serial Productions has produced every season of “Serial” along with shows like “Nice White Parents,” “The Trojan Horse Affair,” “The Coldest Case in Laramie,” “The Retrievals” and more. In 2020, we joined the New York Times Company. Our shows have reached many millions of listeners and have won nearly every major journalism award for audio, including the first-ever Peabody Award given to a podcast.",34.0
https://castbox.fm/channel/This-American-Life-id1017523,This American Life,This American Life,1505008.0,23469973.0,"Each week we choose a theme. Then anything can happen. This American Life is true stories that unfold like little movies for radio. Personal stories with funny moments, big feelings, and surprising plot twists. Newsy stories that try to capture what it’s like to be alive right now. It’s the most popular weekly podcast in the world, and winner of the first ever Pulitzer Prize for a radio show or podcast. Hosted by Ira Glass and produced in collaboration with WBEZ Chicago.",13.0
https://castbox.fm/channel/Freakonomics-Radio-id4590305,Freakonomics Radio,Freakonomics Radio + Stitcher,1143294.0,15813174.0,"Freakonomics co-author Stephen J. Dubner uncovers the hidden side of everything. Why is it safer to fly in an airplane than drive a car? How do we decide whom to marry? Why is the media so full of bad news? Also: things you never knew you wanted to know about wolves, bananas, pollution, search engines, and the quirks of human behavior.To get every show in our network without ads and a monthly bonus episode of Freakonomics Radio, sign up for SiriusXM Podcasts+ on Apple Podcasts at http://apple.co/SiriusXM.",817.0
https://castbox.fm/channel/Masters-of-Scale-id532469,Masters of Scale,WaitWhat,1140267.0,15304451.0,"On Masters of Scale, iconic business leaders share lessons and strategies that have helped them grow the world's most fascinating companies. Founders, CEOs, and dynamic innovators join candid conversations about their triumphs and challenges with a set of luminary hosts, including founding host Reid Hoffman (LinkedIn co-founder and Greylock partner). From navigating early prototypes to expanding brands globally, Masters of Scale provides priceless insights to help anyone grow their dream enterprise.",548.0
https://castbox.fm/channel/TED-Radio-Hour-id2698767,TED Radio Hour,NPR,1129427.0,11994770.0,"Exploring the biggest questions of our time with the help of the world's greatest thinkers. Host Manoush Zomorodi inspires us to learn more about the world, our communities, and most importantly, ourselves.Get more brainy miscellany with TED Radio Hour+. Your subscription supports the show and unlocks a sponsor-free feed. Learn more at plus.npr.org/ted",427.0
https://castbox.fm/channel/Hidden-Brain-id4672506,Hidden Brain,"Hidden Brain, Shankar Vedantam",1077617.0,18188945.0,"Why do I feel stuck? How can I become more creative? What can I do to improve my relationships? If you’ve ever asked yourself these questions, you’re not alone. On Hidden Brain, we help you understand your own mind — and the minds of the people around you. (We're routinely rated the #1 science podcast in the United States.) Hosted by veteran science journalist Shankar Vedantam.",544.0
